start,duration,text,valence,arousal
2.629,4.991,tonight we continue the call of the wild,1,0
5.19,4.38,Dungeons & Dragons campaign if you're,1,0
7.62,3.689,new to this campaign don't worry because,1,0
9.57,7.56,I'm about to explain everything that,1,0
11.309,8.431,just happened where we last left off a,1,0
17.13,5.67,small village comprised of brand,1,0
19.74,7.109,nokey and Darien have had their village,1,0
22.8,6.299,attacked by a invading Society they've,1,0
26.849,3.561,decided in vengeance to take back the,1,0
29.099,3.331,land that is rightfully theirs,1,0
30.41,3.669,slaughtering farmhouses,1,0
32.43,3.899,civilians and even going so far as to,1,0
34.079,4.651,killing the mayor of the very land in,1,0
36.329,4.291,which they reside tonight they must,1,0
38.73,4.14,decide what to do with an enraged,1,0
40.62,4.59,society that wants vengeance against,1,0
42.87,4.56,them now they must confront the allies,1,0
45.21,6.119,that reside in the woods nearby who all,1,0
47.43,5.58,want to take part in their fight so,1,0
51.329,3.451,really quick before we even begin just,1,0
53.01,3.299,as a heads up that little caged in area,1,0
54.78,3.119,right there treat that is something,1,0
56.309,2.881,that's separate and distant from,1,0
57.899,3.781,everything else you see on the map,1,0
59.19,3.9,because that is the home tree the big,1,0
61.68,4.92,old tree right there that's Nico's home,1,0
63.09,5.19,tree okay nice tree man so dude it took,1,0
66.6,4.8,me a long time to grow it yeah where we,1,0
68.28,5.28,last left off was you guys raided the,1,0
71.4,4.5,mayor's house during a private event,1,0
73.56,4.05,Ernest you busted and slaughtered a,1,0
75.9,5.609,bunch of guards and slaughtered the,1,0
77.61,8.13,mayor himself the spoils of that,1,0
81.509,8.491,adventure were a few things items armor,1,0
85.74,7.379,special daggers etc but what he also,1,0
90.0,6.96,came back with were his two children,1,0
93.119,7.261,oddly enough Nico's a family who was,1,0
96.96,6.42,wiped out has now been replaced by these,1,0
100.38,5.07,two newly made orphans who decided to,1,0
103.38,4.739,cooperate he rolled some very high,1,0
105.45,7.75,comfort checks some super high calm and,1,0
108.119,7.691,so they they lovingly accepted your your,1,0
113.2,5.59,guardianship you can see them right here,1,0
115.81,5.59,we have two of them we got this one and,1,0
118.79,3.12,this one you have a boy the taller one,1,0
121.4,3.06,right there,1,0
121.91,4.41,his name is chard and you have the,1,0
124.46,6.3,shorter one for the boat her name is,1,0
126.32,7.47,Alana they are about ten probably an,1,0
130.76,5.61,eleven years old when she heard that's,1,0
133.79,4.05,it that's a run for it's a rough name I,1,0
136.37,2.76,can tell you a little bit about chard,1,0
137.84,3.12,actually now that you've come to know,1,0
139.13,2.52,and we've traveled back to the home tree,1,0
140.96,3.54,from the mansion,1,0
141.65,6.78,um chart is an interesting young boys ax,1,0
144.5,5.79,is hearty young fellow who despite his,1,0
148.43,4.2,his kind of built appearance is,1,0
150.29,4.68,completely oblivious that he's oblivious,1,0
152.63,4.14,to everything around him he's totally,1,0
154.97,4.5,down for whatever,1,0
156.77,6.09,sweet yeah he supposedly till he loves,1,0
159.47,6.0,bud white he's neither bug boy yeah um,1,0
162.86,5.52,also you've noticed he's had he has a,1,0
165.47,4.53,crude tattoo on him that he drew himself,1,0
168.38,4.98,Charlie sounds like he's gonna turn out,1,0
170.0,5.79,just fine yeah so he's a very easy very,1,0
173.36,4.02,general eat him yeah that's what happens,1,0
175.79,3.78,when you the son of a mayor and taken by,1,0
177.38,3.66,barbarians he's all mixed up and then,1,0
179.57,3.15,also you have a lot of a little bit,1,0
181.04,2.85,about her she's got a really funny,1,0
182.72,3.09,looking nose that's the first thing,1,0
183.89,3.72,everything's everyone sees but uh but,1,0
185.81,3.69,just like her brother she's kind of,1,0
187.61,4.26,built you know she's stocky she's not,1,0
189.5,4.47,oblivious like a Chartist but she's,1,0
191.87,6.06,pretty done um however she happens to be,1,0
193.97,7.23,an amazing painter and she is brutally,1,0
197.93,7.05,honest you also released two,1,0
201.2,6.75,kobolds prisoners from the mayor's house,1,0
204.98,4.95,and they are absolutely loyal servants,1,0
207.95,3.84,because you freed them and you can see,1,0
209.93,3.42,them down there they all they got on,1,0
211.79,4.89,them are just their little packs and,1,0
213.35,6.12,pickaxes but they are literally willing,1,0
216.68,6.12,to do anything you say can they speak,1,0
219.47,5.46,common no base bake they just click and,1,0
222.8,5.219,spit and they gnashed their teeth about,1,0
224.93,7.05,a week's worth of time has passed so far,1,0
228.019,6.811,you've all read at Nico's home tree and,1,0
231.98,4.53,what is yep we all knew everyone knows,1,0
234.83,3.48,where it is every time you're really,1,0
236.51,3.99,surprised to see the first day yeah,1,0
238.31,7.0,everyone was very surprised,1,0
240.5,8.26,yeah um and along with you guys you'll,1,0
245.31,6.03,find brand your your wife and stunt son,1,0
248.76,6.63,Matilda and Steve yeah little Steve,1,0
251.34,6.0,Steve was captured by some of the people,1,0
255.39,5.28,and turned into a slave briefly and,1,0
257.34,6.42,because of that he's gonna he hit he has,1,0
260.67,6.87,acquired an unusual skin color probably,1,0
263.76,6.69,from some sort of beating or whatever,1,0
267.54,4.74,town maybe he's maybe he's just not he,1,0
270.45,4.2,needs more nutrients or something who,1,0
272.28,4.38,knows only his skin changed colors yeah,1,0
274.65,5.49,maybe because it was the stress he's,1,0
276.66,5.43,starting to bald a little bit he's a,1,0
280.14,4.23,balding little 12 year old yeah but you,1,0
282.09,4.98,but he's exceptionally wise rosacea and,1,0
284.37,4.95,from the events that he's done yeah and,1,0
287.07,4.71,just let me know a little bit about what,1,0
289.32,5.73,you guys have done over this last week,1,0
291.78,5.67,while you're kind of healing up kind of,1,0
295.05,4.77,like you know recuperating from these,1,0
297.45,5.37,horrific events that have happened to,1,0
299.82,5.46,you what's very and done after the,1,0
302.82,4.95,incident I came back with them obviously,1,0
305.28,5.22,because my wife Mara was in no keys,1,0
307.77,4.71,weird home free so yeah we're trying to,1,0
310.5,5.52,figure out what our next move is because,1,0
312.48,5.55,I don't think things are gonna stay calm,1,0
316.02,5.22,for long yeah exactly,1,0
318.03,5.61,and now Neko or sorry no key think about,1,0
321.24,4.55,the experiences we had really our,1,0
323.64,5.76,general of raising our meal replacement,1,0
325.79,6.43,yep um I have been doing meticulous,1,0
329.4,4.11,recon on the settlements below that have,1,0
332.22,3.96,been forming I spent all the way up to,1,0
333.51,4.38,the coast turning into a fish in,1,0
336.18,4.92,particular swimming down the river fish,1,0
337.89,4.89,recon you've been doing fish recon wait,1,0
341.1,2.79,so like you are just a fish and you just,1,0
342.78,2.37,pick your little fish head out of the,1,0
343.89,2.91,water like look at what's happening a,1,0
345.15,5.07,favorite thing to do is to run to this,1,0
346.8,4.92,bridge jump off like just like you know,1,0
350.22,3.449,go full spread eagle and then turn to a,1,0
351.72,3.78,fish and like hit the water as ready,1,0
353.669,4.471,eagle yes I don't think that's what they,1,0
355.5,3.99,least spread eagle for then phrase yeah,1,0
358.14,3.029,it something like this where the fish,1,0
359.49,3.66,takes its when spread eagle means but,1,0
361.169,4.231,okay no a fish when a fish takes its,1,0
363.15,7.139,fins that goes pretty whole he's like,1,0
365.4,6.15,yeah have any goals ready go man I,1,0
370.289,2.91,thought about I've done this a lot,1,0
371.55,3.72,that's what any more thing to do,1,0
373.199,4.291,like a whole world that's if everything,1,0
375.27,4.199,to do right now I get trying to I think,1,0
377.49,3.75,it's saying my family's dead people more,1,0
379.469,4.051,so yeah you're good your eyes it a,1,0
381.24,3.329,little bit okay how how are the how are,1,0
383.52,3.209,you dealing with the kids how the kids,1,0
384.569,3.66,ah the new kids they're probably the new,1,0
386.729,3.0,kids they seem like they're pretty cool,1,0
388.229,3.09,the pretty chill well they seem okay,1,0
389.729,2.791,yeah you surprise me they don't really,1,0
391.319,4.801,seem that upset about what happened to,1,0
392.52,5.369,their pops I don't know oh they don't,1,0
396.12,3.84,know what happened right just kidding in,1,0
397.889,4.89,talking to them you you you find that,1,0
399.96,5.699,they are very eager to join you guys on,1,0
402.779,5.431,their on your adventures because they've,1,0
405.659,4.35,led a very sheltered life and they,1,0
408.21,3.06,really they really want to they want to,1,0
410.009,4.321,get out there I'm gonna hit the streets,1,0
