start,duration,text,valence,arousal
2.389,5.41,hello everybody and welcome to a night,1,0
5.339,4.68,of LAN party Dungeons & Dragons tonight,1,0
7.799,4.92,I will be the dungeon master and I will,1,0
10.019,5.49,be running Brandon Nico and Dee through,1,0
12.719,6.271,another epic campaign of mine in this,1,0
15.509,6.151,one these adventurers start as members,1,0
18.99,5.31,of a barbarian tribe a nomadic one that,1,0
21.66,8.119,is scouring the wilderness for survival,1,0
24.3,5.479,when one day well we're gonna find out,1,0
34.399,4.601,so Sam Nico and Dee are veterans of a,1,0
38.43,3.33,D&D,1,0
39.0,3.78,I is my first time playing you're not if,1,0
41.76,2.67,you guys have never played before,1,0
42.78,3.27,because you can learn it through through,1,0
44.43,3.03,my eyes as we do this because I'll be,1,0
46.05,4.529,asking I'll be asking some of the new,1,0
47.46,5.07,questions as we go a lot so so let's,1,0
50.579,4.561,just get a quick look at what you guys,1,0
52.53,5.04,are facing here this is your camp all,1,0
55.14,5.309,right and as you can see there's some,1,0
57.57,5.579,sort of civilization encroaching into,1,0
60.449,3.45,your your peaceful wilderness how tall,1,0
63.149,3.601,are those mountains,1,0
63.899,6.241,ah it doesn't matter it doesn't matter,1,0
66.75,6.84,there are large Hills so guys what's the,1,0
70.14,5.869,name of your tribe ah team huddle we are,1,0
73.59,5.91,I mean we're cool dudes for cool dudes,1,0
76.009,5.201,we we don't like we don't like streets,1,0
79.5,3.57,there's a rubber hands why do we need a,1,0
81.21,3.449,name we're just the tribe the tribe with,1,0
83.07,5.01,no name actually you're right the tribe,1,0
84.659,5.551,the day begins like any other day you,1,0
88.08,5.219,guys are all huddled around a warm,1,0
90.21,6.69,campfire together with your families and,1,0
93.299,5.791,yourselves as one tribe we have a couple,1,0
96.9,4.259,characters here we have one character,1,0
99.09,4.739,over here this is the town elder his,1,0
101.159,5.161,name is Bartholomew is it's not the most,1,0
103.829,5.011,barbarian name but he is a wise old man,1,0
106.32,4.56,who has has helped you and your tribe,1,0
108.84,3.739,for years and years and years as you can,1,0
110.88,3.419,see there's a few other people around,1,0
112.579,4.36,campfire as well and that's your,1,0
114.299,5.161,families so Brandon I would like you to,1,0
116.939,6.481,introduce yourself and your wife and,1,0
119.46,6.99,your son to everybody my name is bran,1,0
123.42,5.85,short for Brandon a brand I'm a barber,1,0
126.45,5.04,barbarian obviously strong driven man,1,0
129.27,5.31,yeah you know with with its sights on,1,0
131.49,5.85,the future and he is also well liked by,1,0
134.58,5.25,the tribe and specifically the tribe,1,0
137.34,4.17,elder yeah he's got a crush on you're,1,0
139.83,3.09,pretty much like the tribe champion,1,0
141.51,3.78,you're the trying it here's the t's,1,0
142.92,4.94,modest don't let me don't let us - t for,1,0
145.29,5.19,you Brennan right Brandon is the tribes,1,0
147.86,5.29,champion you can physically beat up,1,0
150.48,4.38,anyone in the Tri exactly mm-hmm so that,1,0
153.15,3.15,makes him the champion here's I married,1,0
154.86,2.73,I had a child but what's what's your,1,0
156.3,4.74,name what's your name her name is,1,0
157.59,4.5,Matilda Matilda and what's your uh what,1,0
