start,duration,text,valence,arousal
2.48,4.99,good evening and welcome to another,1,0
5.04,4.979,night of Dungeons & Dragons with LAN,1,0
7.47,6.329,party in the last chapter of the story,1,0
10.019,6.301,bran managed to find his son who has now,1,0
13.799,4.801,been purchased by wealthy farmers and,1,0
16.32,5.43,landowners in this next section of the,1,0
18.6,4.83,campaign they will try to inch closer to,1,0
21.75,4.859,the mystery of the whereabouts of brands,1,0
23.43,5.429,wife and the mystery of what in the darn,1,0
26.609,5.49,heck these darn civilized societies are,1,0
28.859,5.661,trying to do with their dang land see,1,0
32.099,2.421,what happens,0,0
38.75,4.78,it's starting to hit midnight so all who,0,0
41.88,3.45,knows what kind of untold Horrors might,0,0
43.53,3.42,be beset upon right now so because I,0,0
45.33,4.2,mind let's move up to this uh smoovies,0,0
46.95,4.32,bridge that's the calmest way to say my,0,0
49.53,4.08,wife is probably being murdered right,0,0
51.27,4.23,now may we please go in like continue,0,0
53.61,3.33,our twists unkilled words until the,0,0
55.5,3.57,horrors are happening to her I'm gonna,0,0
56.94,5.16,stealth up to this point right here,0,0
59.07,5.01,alright crawling and then I'm gonna peek,0,0
62.1,4.95,up right about here I'm gonna look,0,0
64.08,4.68,around this area uh currently you don't,0,0
67.05,3.27,listen you don't really see exactly what,0,0
68.76,2.88,this guy is up to from that line of,0,0
70.32,4.56,sight okay because it's higher,0,0
71.64,5.52,undisclosed reasons um and what you see,0,0
74.88,5.46,is on the other side of the river here,0,0
77.16,5.61,you see the merchant and this soldier,0,0
80.34,4.8,getting all buddy-buddy and you see a,0,0
82.77,4.56,slave basically just doing a menial task,0,0
85.14,3.66,of like restocking boxes,0,0
87.33,3.42,what's up of this guy's this kind of God,0,0
88.8,5.52,there's a guy on top of these ruins,0,0
90.75,5.7,holding the lantern and he is just kind,0,0
94.32,5.13,of casually peering out into the,0,0
96.45,4.38,darkness he's kind of standing watch for,0,0
99.45,3.39,the training posts for the event and,0,0
100.83,4.379,then there's a guard over there there's,0,0
102.84,4.8,guard in front of the tent the tavern,0,0
105.209,4.621,you jump the river and you kill this guy,0,0
107.64,3.69,I also I've got invisibility potion so I,0,0
109.83,2.94,can get myself over there no problem,0,0
111.33,3.03,let's go across the bridge what is your,0,0
112.77,4.67,jump spell do it gives you three times,0,0
114.36,6.42,in jump distance three times mine joke,0,0
117.44,4.78,mom oh I would take that spell and I,0,0
120.78,2.729,will do exactly what you just say,0,0
122.22,3.87,because that plan sounds great,0,0
123.509,5.461,and the tavern door opens up tumbles,0,0
126.09,6.42,outside all drunk he's a good you know,0,0
128.97,5.25,good good be and do yeah and he just,0,0
132.51,3.809,goes over here how long is my,0,0
