start,duration,text,valence,arousal
35.09,5.16,the first thing you notice when you walk,0,0
37.44,5.91,inside is it smells like shit,0,0
40.25,6.58,literally it smells like fecal matter,0,0
43.35,9.389,and blood and rot and around you you see,0,0
46.83,6.57,tables with ropes and chains as food,0,0
52.739,3.241,knives,0,0
53.4,6.87,there's a cupboard here are like a small,0,0
55.98,6.03,cabinet that has a couple like vials of,0,0
60.27,4.23,like chemicals and stuff inside of it,0,0
62.01,4.35,I'd like to do a knowledge of I guess,0,0
64.5,5.42,nature no knowledge of medicine actually,0,0
66.36,6.6,see thing identify any chemicals 20 oh,0,0
69.92,5.14,you don't know the names of it but they,0,0
72.96,4.23,are certainly ways they're chemicals,0,0
75.06,4.05,that help preserve corpses where the,0,0
77.19,3.03,line sign right yeah I look over I go,0,0
79.11,3.27,we're in the right place,0,0
80.22,3.9,I feel free white you don't say deild,0,0
82.38,4.2,say it smells like your wife may be near,0,0
84.12,4.98,you don't say that no no I don't owe you,0,0
86.58,3.96,find a bucket of hooves from like a,0,0
89.1,5.43,dozen different types of I look over I,0,0
90.54,6.39,you go don't turn to deer saying you,0,0
94.53,5.49,whatever you do don't become a deer I'm,0,0
96.93,5.43,gonna scoop my little boot I mean my big,0,0
100.02,3.57,musket I'm a bit right up around here,0,0
102.36,2.49,and just gonna take a peek around here,0,0
103.59,3.27,so you would perceive and unless the,0,0
104.85,3.48,holes generally are what's going on you,0,0
106.86,3.3,can see the door to your right and a,0,0
108.33,4.92,door to your left and a small winding,0,0
110.16,4.83,passageways let me go up I mean I got,0,0
113.25,3.57,some keys Dee you've got some keys right,0,0
114.99,4.65,they look a little different I mean I,0,0
116.82,4.08,guess just one uh put my hand on that,0,0
119.64,2.55,knob and see if it's locked,0,0
120.9,2.52,actually yeah I want to check the other,0,0
122.19,2.31,door and see with locked as well just,0,0
123.42,2.61,because we should know if it's a locked,0,0
124.5,2.91,door or not all right all right I'm,0,0
126.03,1.59,gonna go check this store I should do,0,0
127.41,2.7,that,0,0
127.62,5.04,yeah I'm done need a rolling check every,0,0
130.11,5.25,door is locked every door well I take,0,0
132.66,4.74,out the I taste a little keys that I got,0,0
135.36,3.48,I try both of them in the keyhole oh,0,0
137.4,3.3,that's funny,0,0
138.84,5.13,none of your keys work Dee okay haha,0,0
140.7,5.009,hello go hey hey Dee try these ones,0,0
143.97,5.37,let's go chance I toss you the keys your,0,0
145.709,5.371,car keys oh you guys managed to make no,0,0
149.34,4.08,noise do I which key are you trying uh,0,0
151.08,3.73,both keys oh there's a skull and I'm,0,0
153.42,3.819,gonna use the one with little,0,0
