start,duration,text,valence,arousal
64.29,5.33,the first location which you were going,1,0
67.02,6.03,to visit and try and find allies is a,1,0
69.62,7.51,small cave that resides on the side of,1,0
73.05,6.39,the valley with you travel the aid of,1,0
77.13,3.99,the druid yet-to-be-named since there,1,0
79.44,1.95,has been no word spoken between you and,1,0
81.12,3.99,her,1,0
81.39,6.99,and the newly named tikkun tak who are,1,0
85.11,5.07,actually just kobold miners walking,1,0
88.38,4.68,through the woods the trees start to,1,0
90.18,6.06,part and you see a small rocky,1,0
93.06,4.919,outcropping on the side of the hill so I,1,0
96.24,5.39,take it you know our name so what is,1,0
97.979,5.791,your name and she said not your name,1,0
101.63,3.4,she's like staring straight at me,1,0
103.77,2.67,well I mean like in my recognition I,1,0
105.03,5.1,gotta look over here to talk to her okay,1,0
106.44,6.72,she says my name is Olga I care to reiax,1,0
110.13,4.92,I had a feeling your name was all go,1,0
113.16,3.42,she's pretty Bush but she looks like she,1,0
115.05,3.54,could get kicks and fucking oh I can,1,0
116.58,3.66,tell by her voice she kick some ass you,1,0
118.59,4.07,know do you know anything about this,1,0
120.24,4.98,beast that we're looking for not at all,1,0
122.66,3.67,sounds good let's do this we can see,1,0
125.22,4.98,through the trees little bit here so I'm,0,0
126.33,5.879,just gonna roll a perception of um yeah,0,0
130.2,4.38,it's a strange-looking cave never seen,0,0
132.209,3.691,caves twelve perception looking forward,0,0
134.58,2.7,to those caves see if we can identify,0,0
135.9,4.32,where the Beast is or any night then,0,0
137.28,6.239,what do you see before you is a bunch of,0,0
140.22,5.01,rocks all piled up you can see a small,0,0
143.519,4.5,opening in the center and generally a,0,0
145.23,4.979,small black hole there all right we're,0,0
148.019,4.141,gonna we're gonna have head up we get up,0,0
150.209,5.851,to the distance there and just call out,0,0
152.16,6.87,you know hello there your silence,0,0
156.06,5.64,you hear the mountain wind blowing,0,0
159.03,4.83,between the rocks slight whistling based,0,0
161.7,4.47,on the Lana's words we can probably walk,0,0
163.86,2.94,up there on the creature like we want to,0,0
166.17,3.24,kill us,0,0
166.8,4.56,I suggest we not walk in as an entire,0,0
169.41,6.09,party is just we approach it with few,0,0
171.36,4.74,numbers single-file tic-tac Olga you,0,0
175.5,2.7,guys wait here,0,0
176.1,4.29,organ sound like ticking by himself no,0,0
178.2,5.37,you don't want it good I can speak,0,0
180.39,4.29,English hmm poking that cave there seems,0,0
183.57,3.389,like your droid abilities may come in,0,0
184.68,7.08,handy I'm actually kind of move,0,0
186.959,7.951,stealthily ahead into the cave all right,0,0
191.76,5.729,19 for stealth plus other things,0,0
194.91,9.27,all right 19 stealth exits 22 we're only,0,0
197.489,9.061,perception perception is a solid 14 14,0,0
204.18,4.71,well you can see what looks like to be,0,0
206.55,5.64,rocky outcroppings you see a little bit,0,0
208.89,5.79,of like mossy kind of overgrowth some,0,0
